Ano;Região;UF;Código do Município;Nome do Município;Localização;Total.2;Total  .2
2021;Norte;RO;1100320;São Miguel do Guaporé;Urbana;0.2;--
2021;Norte;RO;1100320;São Miguel do Guaporé;Rural;0;--
2021;Norte;RO;1100320;São Miguel do Guaporé;Total;0;--
2021;Norte;RO;1100320;São Miguel do Guaporé;Urbana;0;--
2021;Norte;RO;1100320;São Miguel do Guaporé;Total;0.1;0.7
2021;Norte;RO;1100320;São Miguel do Guaporé;Urbana;0.1;0.7
2021;Norte;RO;1100320;São Miguel do Guaporé;Rural;0;--
2021;Norte;RO;1100338;Nova Mamoré;Total;3.7;7.4
2021;Norte;RO;1100338;Nova Mamoré;Urbana;3.7;7.4
2021;Norte;RO;1100338;Nova Mamoré;Rural;3.7;--
2021;Norte;RO;1100338;Nova Mamoré;Total;6.5;7.4
2021;Norte;RO;1100338;Nova Mamoré;Urbana;6.5;7.4
2021;Norte;RO;1100338;Nova Mamoré;Rural;6.9;--
2021;Norte;RO;1100338;Nova Mamoré;Total;1.9;--
2021;Norte;RO;1100338;Nova Mamoré;Urbana;1;--
2021;Norte;RO;1100338;Nova Mamoré;Rural;3.1;--
2021;Norte;RO;1100338;Nova Mamoré;Total;0;--
2021;Norte;RO;1100338;Nova Mamoré;Urbana;0;--
2021;Norte;RO;1100338;Nova Mamoré;Total;3.8;7.4
2021;Norte;RO;1100338;Nova Mamoré;Urbana;3.9;7.4
2021;Norte;RO;1100338;Nova Mamoré;Rural;3.7;--
2021;Norte;RO;1100346;Alvorada D'Oeste;Total;0;0.8
2021;Norte;RO;1100346;Alvorada D'Oeste;Urbana;0;0.8
2021;Norte;RO;1100346;Alvorada D'Oeste;Rural;0;--
2021;Norte;RO;1100346;Alvorada D'Oeste;Total;0;0.8
2021;Norte;RO;1100346;Alvorada D'Oeste;Urbana;0;0.8
2021;Norte;RO;1100346;Alvorada D'Oeste;Total;0.1;--
2021;Norte;RO;1100346;Alvorada D'Oeste;Urbana;0.1;--
2021;Norte;RO;1100346;Alvorada D'Oeste;Rural;0;--
2021;Norte;RO;1100346;Alvorada D'Oeste;Total;0;0.8
2021;Norte;RO;1100346;Alvorada D'Oeste;Urbana;0;0.8
2021;Norte;RO;1100346;Alvorada D'Oeste;Rural;0;--
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Total;0.1;7.3
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Urbana;0.2;7.3
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Rural;0;--
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Total;1;7.3
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Urbana;1.1;7.3
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Rural;0;--
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Total;0;--
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Urbana;0;--
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Rural;0;--
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Total;0.1;7.3
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Urbana;0.2;7.3
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Rural;0;--
2021;Norte;RO;1100403;Alto Paraíso;Total;0.5;0
2021;Norte;RO;1100403;Alto Paraíso;Urbana;0.8;0
2021;Norte;RO;1100403;Alto Paraíso;Rural;0.1;--
2021;Norte;RO;1100403;Alto Paraíso;Total;0.9;0
2021;Norte;RO;1100403;Alto Paraíso;Urbana;0.9;0
2021;Norte;RO;1100403;Alto Paraíso;Total;0.4;--
2021;Norte;RO;1100403;Alto Paraíso;Urbana;1;--
2021;Norte;RO;1100403;Alto Paraíso;Rural;0.1;--
2021;Norte;RO;1100403;Alto Paraíso;Total;0;--
2021;Norte;RO;1100403;Alto Paraíso;Urbana;0;--
2021;Norte;RO;1100403;Alto Paraíso;Total;0.6;0
2021;Norte;RO;1100403;Alto Paraíso;Urbana;0.9;0
2021;Norte;RO;1100403;Alto Paraíso;Rural;0.1;--
2021;Norte;RO;1100452;Buritis;Total;1.7;5.4
2021;Norte;RO;1100452;Buritis;Urbana;1.9;5.4
2021;Norte;RO;1100452;Buritis;Rural;0;--
2021;Norte;RO;1100452;Buritis;Total;3.2;5.4
2021;Norte;RO;1100452;Buritis;Urbana;3.2;5.4
2021;Norte;RO;1100452;Buritis;Total;0.2;--
2021;Norte;RO;1100452;Buritis;Urbana;0.2;--
2021;Norte;RO;1100452;Buritis;Rural;0;--
2021;Norte;RO;1100452;Buritis;Total;0;--
2021;Norte;RO;1100452;Buritis;Urbana;0;--
2021;Norte;RO;1100452;Buritis;Total;1.8;5.4
2021;Norte;RO;1100452;Buritis;Urbana;2;5.4
2021;Norte;RO;1100452;Buritis;Rural;0;--
2021;Norte;RO;1100502;Novo Horizonte do Oeste;Total;0;0.9
2021;Norte;RO;1100502;Novo Horizonte do Oeste;Urbana;0;0
2021;Norte;RO;1100502;Novo Horizonte do Oeste;Rural;--;2.6
2021;Norte;RO;1100502;Novo Horizonte do Oeste;Total;0;0
2021;Norte;RO;1100502;Novo Horizonte do Oeste;Urbana;0;0
2021;Norte;RO;1100502;Novo Horizonte do Oeste;Total;0;--
2021;Norte;RO;1100502;Novo Horizonte do Oeste;Urbana;0;--
2021;Norte;RO;1100502;Novo Horizonte do Oeste;Total;--;2.6
2021;Norte;RO;1100502;Novo Horizonte do Oeste;Rural;--;2.6
2021;Norte;RO;1100502;Novo Horizonte do Oeste;Total;0;0
2021;Norte;RO;1100502;Novo Horizonte do Oeste;Urbana;0;0
2021;Norte;RO;1100601;Cacaulândia;Total;0.1;0.6
2021;Norte;RO;1100601;Cacaulândia;Urbana;0;0.6
2021;Norte;RO;1100601;Cacaulândia;Rural;0.6;--
2021;Norte;RO;1100601;Cacaulândia;Total;0;0.6
2021;Norte;RO;1100601;Cacaulândia;Urbana;0;0.6
2021;Norte;RO;1100601;Cacaulândia;Total;0.2;--
2021;Norte;RO;1100601;Cacaulândia;Urbana;0;--
2021;Norte;RO;1100601;Cacaulândia;Rural;0.6;--
2021;Norte;RO;1100601;Cacaulândia;Total;0.1;0.6
2021;Norte;RO;1100601;Cacaulândia;Urbana;0;0.6
2021;Norte;RO;1100601;Cacaulândia;Rural;0.6;--
2021;Norte;RO;1100700;Campo Novo de Rondônia;Total;3.8;15.2
2021;Norte;RO;1100700;Campo Novo de Rondônia;Urbana;2.5;6.2
2021;Norte;RO;1100700;Campo Novo de Rondônia;Rural;5;31
2021;Norte;RO;1100700;Campo Novo de Rondônia;Total;11.3;15.2
2021;Norte;RO;1100700;Campo Novo de Rondônia;Urbana;5.2;6.2
2021;Norte;RO;1100700;Campo Novo de Rondônia;Rural;23.3;31
2021;Norte;RO;1100700;Campo Novo de Rondônia;Total;0;--
2021;Norte;RO;1100700;Campo Novo de Rondônia;Urbana;0;--
2021;Norte;RO;1100700;Campo Novo de Rondônia;Rural;0;--
2021;Norte;RO;1100700;Campo Novo de Rondônia;Total;3.8;15.2
2021;Norte;RO;1100700;Campo Novo de Rondônia;Urbana;2.5;6.2
2021;Norte;RO;1100700;Campo Novo de Rondônia;Rural;5;31
2021;Norte;RO;1100809;Candeias do Jamari;Total;4.3;6.3
2021;Norte;RO;1100809;Candeias do Jamari;Urbana;3.3;6.2
2021;Norte;RO;1100809;Candeias do Jamari;Rural;7.3;0
2021;Norte;RO;1100809;Candeias do Jamari;Total;5;6.3
2021;Norte;RO;1100809;Candeias do Jamari;Urbana;5;6.2
2021;Norte;RO;1100809;Candeias do Jamari;Rural;0;0
2021;Norte;RO;1100809;Candeias do Jamari;Total;3.7;--
